Date,Open,High,Low,Close,Adj Close,Volume
1/1/2022,145.054993,146.485001,124.5,135.303497,135.303497,767206000
2/1/2022,137.594498,151.546494,124.953499,135.057007,135.057007,928126000
3/1/2022,134.878494,143.793503,125.275002,139.067505,139.067505,729162000
4/1/2022,139.5,143.712006,112.736504,114.109497,114.109497,761152000
5/1/2022,113.404999,122.8545,101.884499,113.762001,113.762001,850450000
6/1/2022,114.855003,119.347,105.045998,108.962997,108.962997,770754000
7/1/2022,107.932999,119.684998,104.07,116.32,116.32,789529700
8/1/2022,115.300003,122.43,107.800003,108.220001,108.220001,515852700
9/1/2022,108.279999,111.620003,95.559998,95.650002,95.650002,613278900
10/1/2022,96.760002,104.82,91.800003,94.510002,94.510002,681488300
11/1/2022,95.449997,101.040001,83.339996,100.989998,100.989998,716522700
12/1/2022,101.019997,102.25,85.940002,88.230003,88.230003,603127800
1/1/2023,89.589996,100.32,84.860001,98.839996,98.839996,672897800
2/1/2023,98.709999,108.18,88.580002,90.059998,90.059998,952580200
3/1/2023,89.980003,106.589996,89.419998,103.730003,103.730003,859933900
4/1/2023,102.389999,109.169998,101.93,107.339996,107.339996,604106300
5/1/2023,106.839996,126.43,103.709999,122.870003,122.870003,820545400
6/1/2023,122.82,129.039993,116.099998,119.699997,119.699997,656756700
7/1/2023,119.239998,124.830002,115.349998,124.540001,124.540001,221505800
